866489;09/07/2021;06:00;09/07/2021;14:20
867981;09/07/2021;14:00;09/07/2021;22:20
863998;09/07/2021;22:00;09/07/2021;06:20
3104824;09/07/2021;07:00;09/07/2021;18:00
864388;09/07/2021;07:00;09/07/2021;18:00
864051;09/07/2021;07:00;09/07/2021;18:00
862503;09/07/2021;07:00;09/07/2021;18:00
867054;09/07/2021;07:00;09/07/2021;18:00
3128245;09/07/2021;07:00;09/07/2021;18:00
866400;09/07/2021;07:00;09/07/2021;18:00
865883;09/07/2021;07:00;09/07/2021;18:00
863737;09/07/2021;07:00;09/07/2021;18:00
867944;09/07/2021;07:00;09/07/2021;18:00
863999;09/07/2021;07:00;09/07/2021;18:00
866344;09/07/2021;07:00;09/07/2021;18:00
3128244;09/07/2021;07:00;09/07/2021;18:00
3756354;09/07/2021;07:00;09/07/2021;18:00
866585;09/07/2021;07:00;09/07/2021;18:00
865231;09/07/2021;06:00;09/07/2021;18:00
